Device: cuda
Loaded vocab (544 tokens) <- /content/visual-latex-decompiler/vocab.pkl
[FormulaDataset] 75275 samples from /content/visual-latex-decompiler/Data_Im2Latx/images_train
[FormulaDataset] 8370 samples from /content/visual-latex-decompiler/Data_Im2Latx/images_val
Model type: transformer
Parameters: 32,584,096
Looking for checkpoint: /content/visual-latex-decompiler/checkpoints/model_best_transformer.pt exists: True
  ep 8 step 1250 loss=1.6397 tf=0.85
  ep 8 step 1300 loss=1.6402 tf=0.85
  ep 8 step 1350 loss=1.6404 tf=0.85
  ep 8 step 1400 loss=1.6409 tf=0.85
  ep 8 step 1450 loss=1.6412 tf=0.85
  ep 8 step 1500 loss=1.6410 tf=0.85
  ep 8 step 1550 loss=1.6411 tf=0.85
  ep 8 step 1600 loss=1.6410 tf=0.85
  ep 8 step 1650 loss=1.6404 tf=0.85
  ep 8 step 1700 loss=1.6407 tf=0.85
  ep 8 step 1750 loss=1.6410 tf=0.85
  ep 8 step 1800 loss=1.6411 tf=0.85
  ep 8 step 1850 loss=1.6414 tf=0.85
  ep 8 step 1900 loss=1.6413 tf=0.85
  ep 8 step 1950 loss=1.6419 tf=0.85
  ep 8 step 2000 loss=1.6419 tf=0.85
  ep 8 step 2050 loss=1.6415 tf=0.85
  ep 8 step 2100 loss=1.6412 tf=0.85
  ep 8 step 2150 loss=1.6409 tf=0.85
  ep 8 step 2200 loss=1.6408 tf=0.85
  ep 8 step 2250 loss=1.6411 tf=0.85
  ep 8 step 2300 loss=1.6408 tf=0.85
  ep 8 step 2350 loss=1.6409 tf=0.85
Epoch 8/20 tl=1.6409 vl=1.5687 BLEU=0.0549 ED=0.7964 lr=0.001000 1355s
Device: cuda
Loaded vocab (544 tokens) <- /content/visual-latex-decompiler/vocab.pkl
[FormulaDataset] 75275 samples from /content/visual-latex-decompiler/Data_Im2Latx/images_train
[FormulaDataset] 8370 samples from /content/visual-latex-decompiler/Data_Im2Latx/images_val
Model type: transformer
Parameters: 32,584,096
Looking for checkpoint: /content/visual-latex-decompiler/checkpoints/model_best_transformer.pt exists: True
Resumed from epoch 8, val_loss=1.5687
  ep 9 step 50 loss=1.6312 tf=0.83
  ep 9 step 100 loss=1.6242 tf=0.83
  ep 9 step 150 loss=1.6151 tf=0.83
  ep 9 step 200 loss=1.6162 tf=0.83
  ep 9 step 250 loss=1.6160 tf=0.83
  ep 9 step 300 loss=1.6172 tf=0.83
  ep 9 step 350 loss=1.6177 tf=0.83
